año,provincia,departamento,cultivo,lat,lon,zona_agroclimatica,produccion_tn
2017,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,54632
2018,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,58052
2019,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,53243
2020,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,48186
2021,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,56682
2022,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,28927
2023,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,59530
2024,Buenos Aires,Adolfo Gonzales Chaves,Soja,-37.9646159068483,-60.2482821323384,Pampa Húmeda,59547
2000,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,485455
2001,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,583644
2002,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,585018
2003,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,733758
2004,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,721426
2005,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,805567
2006,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,676065
2007,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,875523
2008,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,946816
2009,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,932274
2010,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,971679
2011,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,1042919
2012,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,823351
2013,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,1029190
2014,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,1049834
2015,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,1123935
2016,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,686194
2017,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,1018384
2018,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,1089350
2019,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,993907
2020,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,887267
2021,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,1032111
2022,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,526746
2023,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,1095302
2024,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,1110003
2000,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,29757
2001,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,33975
2002,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,33610
2003,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,43586
2004,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,45242
2005,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,52383
2006,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,43555
2007,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,53668
2008,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,55119
2009,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,53560
2010,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,57717
2011,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,65403
2012,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,53540
2013,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,66306
2014,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,64353
2015,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,65428
2016,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,39422
2017,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,60492
2018,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,68313
2019,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,64630
2020,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,57163
2021,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,63266
2022,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,30664
2023,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,62927
2024,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,65934
2000,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,34259
2001,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,38451
2002,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,36740
2003,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,46506
2004,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,48489
2005,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,57738
2006,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,49531
2007,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,61785
2008,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,62376
2009,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,58549
2010,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,61586
2011,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,70097
2012,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,59013
2013,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,75402
2014,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,74087
2015,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,74043
2016,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,43094
2017,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,64545
2018,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,73218
2019,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,71237
2020,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,65003
2021,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,72836
2022,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,34701
2023,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,68786
2024,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,70352
2000,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,34502
2001,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,40433
2002,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,38667
2003,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,46834
2004,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,46199
2005,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,53751
2006,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,47288
2007,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,62224
2008,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,65591
2009,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,61621
2010,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,62021
2011,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,66785
2012,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,54939
2013,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,71988
2014,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,74614
2015,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,77859
2016,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,45356
2017,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,65003
2018,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,69760
2019,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,66319
2020,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,62061
2021,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,73355
2022,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,36490
2023,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,72396
2024,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,70850
2000,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,34042
2001,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,40061
2002,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,38461
2003,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,46609
2004,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,45824
2005,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,53064
2006,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,46576
2007,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,61393
2008,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,64990
2009,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,61288
2010,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,61722
2011,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,66244
2012,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,54237
2013,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,70905
2014,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,73616
2015,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,77148
2016,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,45110
2017,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,64691
2018,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,69194
2019,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,65471
2020,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,61129
2021,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,72373
2022,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,36155
2023,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,72005
2024,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,70508
2000,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,25578
2001,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,30746
2002,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,30485
2003,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,37721
2004,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,36834
2005,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,41359
2006,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,35213
2007,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,46130
2008,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,49881
2009,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,48581
2010,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,49953
2011,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,53249
2012,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,42274
2013,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,53605
2014,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,55316
2015,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,59210
2016,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,35758
2017,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,52354
2018,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,55620
2019,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,51030
2020,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,46214
2021,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,54381
2022,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,27750
2023,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,57077
2024,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,57062
2000,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,32941
2001,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,37571
2002,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,37123
2003,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,48124
2004,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,49988
2005,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,57949
2006,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,48223
2007,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,59412
2008,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,60951
2009,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,59158
2010,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,63729
2011,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,72265
2012,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,59228
2013,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,73410
2014,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,71238
2015,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,72352
2016,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,43544
2017,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,66794
2018,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,75482
2019,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,71495
2020,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,63287
2021,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,70037
2022,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,33909
2023,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,69502
2024,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,72802
2000,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,28611
2001,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,34387
2002,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,34076
2003,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,42139
2004,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,41143
2005,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,46213
2006,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,39371
2007,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,51598
2008,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,55784
2009,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,54303
2010,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,55805
2011,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,59478
2012,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,47233
2013,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,59933
2014,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,61873
2015,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,66220
2016,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,39970
2017,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,58487
2018,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,62126
2019,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,57020
2020,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,51669
2021,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,60827
2022,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,31034
2023,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,63799
2024,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,63747
2000,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,26666
2001,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,29971
2002,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,28894
2003,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,36912
2004,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,38572
2005,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,45663
2006,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,38802
2007,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,48090
2008,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,48619
2009,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,46043
2010,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,48881
2011,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,55763
2012,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,46670
2013,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,59070
2014,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,57666
2015,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,57716
2016,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,33890
2017,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,51230
2018,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,58246
2019,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,56338
2020,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,50923
2021,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,56692
2022,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,27049
2023,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,54094
2024,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,55841
2000,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,25889
2001,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,30425
2002,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,30689
2003,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,39621
2004,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,40166
2005,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,45329
2006,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,37332
2007,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,46691
2008,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,49360
2009,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,48907
2010,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,52466
