año,provincia,departamento,cultivo,lat,lon,zona_agroclimatica,sup_sembrada_ha
2014,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,20759
2015,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,21243
2016,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,19711
2017,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,18613
2018,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,20392
2019,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,19065
2020,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,18147
2021,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,18285
2022,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,17227
2023,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,17676
2024,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,19056
2000,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,13126
2001,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,13635
2002,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,14755
2003,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,16550
2004,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,17827
2005,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,20259
2006,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,20383
2007,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,20803
2008,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,19615
2009,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,20259
2010,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,20806
2011,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,22833
2012,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,22524
2013,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,24561
2014,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,23899
2015,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,24040
2016,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,21547
2017,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,19860
2018,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,21856
2019,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,21014
2020,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,20636
2021,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,21051
2022,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,19495
2023,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,19322
2024,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,20333
2000,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,13219
2001,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,14338
2002,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,15529
2003,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,16667
2004,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,16985
2005,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,18860
2006,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,19460
2007,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,20951
2008,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,20626
2009,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,21322
2010,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,20953
2011,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,21754
2012,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,20969
2013,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,23449
2014,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,24069
2015,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,25279
2016,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,22678
2017,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,20001
2018,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,20824
2019,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,19563
2020,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,19702
2021,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,21201
2022,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,20500
2023,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,20336
2024,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,20477
2000,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,13043
2001,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,14206
2002,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,15446
2003,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,16587
2004,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,16847
2005,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,18619
2006,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,19167
2007,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,20671
2008,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,20437
2009,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,21207
2010,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,20852
2011,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,21578
2012,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,20701
2013,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,23096
2014,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,23747
2015,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,25048
2016,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,22555
2017,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,19905
2018,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,20655
2019,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,19313
2020,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,19406
2021,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,20917
2022,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,20312
2023,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,20226
2024,Buenos Aires,José C. Paz,Soja,-34.511853162718,-58.7776345982883,Pampa Húmeda,20378
2000,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,9800
2001,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,10903
2002,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,12243
2003,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,13424
2004,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,13542
2005,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,14512
2006,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,14491
2007,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,15532
2008,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,15686
2009,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,16810
2010,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,16876
2011,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,17345
2012,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,16135
2013,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,17461
2014,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,17844
2015,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,19224
2016,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,17879
2017,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,16109
2018,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,16603
2019,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,15053
2020,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,14671
2021,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,15717
2022,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,15590
2023,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,16033
2024,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,16492
2000,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,12621
2001,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,13323
2002,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,14909
2003,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,17126
2004,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,18378
2005,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,20333
2006,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,19845
2007,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,20004
2008,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,19167
2009,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,20470
2010,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,21530
2011,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,23539
2012,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,22606
2013,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,23912
2014,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,22980
2015,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,23491
2016,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,21772
2017,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,20552
2018,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,22532
2019,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,21090
2020,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,20091
2021,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,20242
2022,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,19050
2023,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,19523
2024,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,21041
2000,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,10962
2001,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,12194
2002,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,13685
2003,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,14996
2004,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,15126
2005,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,16215
2006,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,16202
2007,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,17373
2008,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,17542
2009,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,18790
2010,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,18853
2011,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,19374
2012,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,18028
2013,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,19522
2014,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,19959
2015,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,21500
2016,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,19985
2017,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,17996
2018,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,18545
2019,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,16820
2020,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,16403
2021,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,17580
2022,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,17435
2023,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,17921
2024,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,18424
2000,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,10217
2001,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,10628
2002,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,11604
2003,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,13136
2004,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,14181
2005,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,16022
2006,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,15968
2007,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,16192
2008,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,15289
2009,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,15932
2010,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,16514
2011,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,18164
2012,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,17813
2013,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,19241
2014,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,18602
2015,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,18739
2016,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,16945
2017,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,15763
2018,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,17387
2019,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,16619
2020,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,16166
2021,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,16385
2022,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,15196
2023,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,15195
2024,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,16139
2000,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,9919
2001,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,10789
2002,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,12325
2003,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,14100
2004,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,14767
2005,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,15905
2006,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,15363
2007,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,15721
2008,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,15522
2009,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,16923
2010,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,17725
