año,provincia,departamento,cultivo,lat,lon,zona_agroclimatica,rendimiento_tn_ha
2013,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,3.07
2014,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,3.1
2015,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,3.08
2016,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,2.0
2017,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,3.25
2018,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,3.35
2019,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,3.39
2020,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,3.15
2021,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,3.46
2022,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,1.78
2023,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,3.56
2024,Buenos Aires,Saladillo,Soja,-35.676806451923,-59.7026607444531,Pampa Húmeda,3.46
2000,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,2.61
2001,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,2.82
2002,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,2.49
2003,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,2.81
2004,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,2.72
2005,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,2.85
2006,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,2.43
2007,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,2.97
2008,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,3.18
2009,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,2.89
2010,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,2.96
2011,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,3.07
2012,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,2.62
2013,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,3.07
2014,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,3.1
2015,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,3.08
2016,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,2.0
2017,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,3.25
2018,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,3.35
2019,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,3.39
2020,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,3.15
2021,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,3.46
2022,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,1.78
2023,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,3.56
2024,Buenos Aires,Las Flores,Soja,-36.015826657022,-59.1764609497072,Pampa Húmeda,3.46
2000,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,2.61
2001,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,2.82
2002,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,2.49
2003,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,2.81
2004,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,2.72
2005,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,2.85
2006,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,2.43
2007,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,2.97
2008,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,3.18
2009,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,2.89
2010,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,2.96
2011,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,3.07
2012,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,2.62
2013,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,3.07
2014,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,3.1
2015,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,3.08
2016,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,2.0
2017,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,3.25
2018,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,3.35
2019,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,3.39
2020,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,3.15
2021,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,3.46
2022,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,1.78
2023,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,3.56
2024,Buenos Aires,Rojas,Soja,-34.1928173894529,-60.7880234647739,Pampa Húmeda,3.46
2000,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,2.61
2001,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,2.82
2002,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,2.49
2003,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,2.81
2004,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,2.72
2005,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,2.85
2006,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,2.43
2007,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,2.97
2008,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,3.18
2009,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,2.89
2010,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,2.96
2011,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,3.07
2012,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,2.62
2013,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,3.07
2014,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,3.1
2015,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,3.08
2016,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,2.0
2017,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,3.25
2018,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,3.35
2019,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,3.39
2020,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,3.15
2021,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,3.46
2022,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,1.78
2023,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,3.56
2024,Buenos Aires,Escobar,Soja,-34.3286828340822,-58.7711786108511,Pampa Húmeda,3.46
2000,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,2.61
2001,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,2.82
2002,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,2.49
2003,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,2.81
2004,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,2.72
2005,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,2.85
2006,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,2.43
2007,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,2.97
2008,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,3.18
2009,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,2.89
2010,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,2.96
2011,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,3.07
2012,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,2.62
2013,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,3.07
2014,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,3.1
2015,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,3.08
2016,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,2.0
2017,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,3.25
2018,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,3.35
2019,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,3.39
2020,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,3.15
2021,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,3.46
2022,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,1.78
2023,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,3.56
2024,Buenos Aires,Bahía Blanca,Soja,-38.5841892126256,-62.1694174494415,Pampa Húmeda,3.46
2000,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,2.61
2001,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,2.82
2002,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,2.49
2003,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,2.81
2004,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,2.72
2005,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,2.85
2006,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,2.43
2007,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,2.97
2008,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,3.18
2009,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,2.89
2010,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,2.96
2011,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,3.07
2012,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,2.62
2013,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,3.07
2014,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,3.1
2015,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,3.08
2016,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,2.0
2017,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,3.25
2018,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,3.35
2019,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,3.39
2020,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,3.15
2021,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,3.46
2022,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,1.78
2023,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,3.56
2024,Buenos Aires,San Antonio de Areco,Soja,-34.2207575658705,-59.5194434817548,Pampa Húmeda,3.46
2000,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,2.61
2001,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,2.82
2002,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,2.49
2003,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,2.81
2004,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,2.72
2005,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,2.85
2006,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,2.43
2007,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,2.97
2008,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,3.18
2009,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,2.89
2010,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,2.96
2011,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,3.07
2012,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,2.62
2013,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,3.07
2014,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,3.1
2015,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,3.08
2016,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,2.0
2017,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,3.25
2018,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,3.35
2019,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,3.39
2020,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,3.15
2021,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,3.46
2022,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,1.78
2023,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,3.56
2024,Buenos Aires,Maipú,Soja,-36.886933208215,-57.5861191040468,Pampa Húmeda,3.46
2000,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,2.61
2001,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,2.82
2002,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,2.49
2003,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,2.81
2004,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,2.72
2005,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,2.85
2006,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,2.43
2007,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,2.97
2008,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,3.18
2009,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,2.89
2010,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,2.96
2011,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,3.07
2012,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,2.62
2013,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,3.07
2014,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,3.1
2015,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,3.08
2016,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,2.0
2017,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,3.25
2018,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,3.35
2019,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,3.39
2020,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,3.15
2021,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,3.46
2022,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,1.78
2023,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,3.56
2024,Buenos Aires,General Alvarado,Soja,-38.2026277127362,-58.0718053725136,Pampa Húmeda,3.46
2000,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,2.61
2001,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,2.82
2002,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,2.49
2003,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,2.81
2004,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,2.72
2005,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,2.85
2006,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,2.43
2007,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,2.97
2008,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,3.18
2009,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,2.89
2010,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,2.96
2011,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,3.07
2012,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,2.62
2013,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,3.07
2014,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,3.1
2015,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,3.08
2016,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,2.0
2017,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,3.25
2018,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,3.35
2019,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,3.39
2020,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,3.15
2021,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,3.46
2022,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,1.78
2023,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,3.56
2024,Buenos Aires,General Pueyrredón,Soja,-37.9656831422541,-57.743028347627,Pampa Húmeda,3.46
2000,Buenos Aires,Mar Chiquita,Soja,-37.4986405981654,-57.6432660560016,Pampa Húmeda,2.61
2001,Buenos Aires,Mar Chiquita,Soja,-37.4986405981654,-57.6432660560016,Pampa Húmeda,2.82
2002,Buenos Aires,Mar Chiquita,Soja,-37.4986405981654,-57.6432660560016,Pampa Húmeda,2.49
2003,Buenos Aires,Mar Chiquita,Soja,-37.4986405981654,-57.6432660560016,Pampa Húmeda,2.81
2004,Buenos Aires,Mar Chiquita,Soja,-37.4986405981654,-57.6432660560016,Pampa Húmeda,2.72
2005,Buenos Aires,Mar Chiquita,Soja,-37.4986405981654,-57.6432660560016,Pampa Húmeda,2.85
